time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-15 00:00:00+00:00,1,1,,
2023-08-16 00:00:00+00:00,6,4,3.0,3.0
2023-08-17 00:00:00+00:00,7,3,14.0,5.0
2023-08-18 00:00:00+00:00,4,4,40.0,5.0
2023-08-19 00:00:00+00:00,3,2,56.0,4.0
2023-08-20 00:00:00+00:00,1,1,10.0,3.0
2023-08-21 00:00:00+00:00,23,9,172.0,62.0
2023-08-22 00:00:00+00:00,2,2,8.0,5.0
2023-08-23 00:00:00+00:00,1,1,49.0,7.0
2023-08-24 00:00:00+00:00,3,2,20.0,4.0
2023-08-25 00:00:00+00:00,1,1,8.0,2.0
2023-08-26 00:00:00+00:00,1,1,2.0,2.0
2023-08-27 00:00:00+00:00,1,1,13.0,3.0
2023-08-28 00:00:00+00:00,6,4,22.0,5.0
2023-08-29 00:00:00+00:00,12,7,42.0,2.0
